Variables,af,ar,bg,bn,ca,cs,da,de,el,en-GB,en,es-ES,es-MX,es,fa,fi,fr,gu,he,hi,hr,hu,id,it,ja,kn,ko,ml,mr,ms,nb,nl,pa,pl,pt,ro,ru,sk,sr,sv,ta,te,th,tl,tr,uk,ur,vi,zh-Hans,zh-Hant_HK,zh-Hant_TW,Comments
%@ is your %@ verification code.,,,,,,,,Dein %2$@ Bestätigungscode lautet %1$@.,,%@ is your %@ verification code.,%@ is your %@ verification code.,%@ es tu codigo de confirmacion de %@.,%@ es tu codigo de confirmacion de %@.,%@ es tu codigo de confirmacion de %@.,,,%@ est votre code de confirmation pour %@.,,,,,,,Il tuo codice di conferma %2$@ è %1$@.,%@は%@の認証コードです。,,내 %2$@ 승인 코드는 %1$@ 입니다.,,,,,Je %2$@-bevestigingscode is %1$@.,,,Seu código de confirmação do %2$@ é %1$@.,,Ваш код подтверждения в %2$@ - %1$@.,,,,,,,,,,,%@ là mã xác nhận %@ của bạn.,你的 %2$@ 确认码是 %1$@。,你的 %2$@ 確認碼是 %1$@。,你的 %2$@ 確認碼是 %1$@。,SMS message format
"<Response><Say language=\""en-US\"" voice=\""alice\"" loop=\""2\"">Your verification code for %2$@ is, %1$@.</Say></Response>",,,,,,,,"<Response><Say language=""de-DE"" voice=""alice"" loop=""2"">Dein %2$@ Bestätigungscode lautet, %1$@.</Say></Response>",,"<Response><Say language=""en-GB"" voice=""alice"" loop=""2"">Your verification code for %2$@ is, %1$@.</Say></Response>","<Response><Say language=""en-US"" voice=""alice"" loop=""2"">Your verification code for %2$@ is, %1$@.</Say></Response>","<Response><Say language=""es-ES"" voice=""alice"" loop=""2"">Tu codigo de confirmacion de %2$@ es, %1$@.</Say></Response>","<Response><Say language=""es-MX"" voice=""alice"" loop=""2"">Tu codigo de confirmacion de %2$@ es, %1$@.</Say></Response>","<Response><Say language=""es-ES"" voice=""alice"" loop=""2"">Tu codigo de confirmacion de %2$@ es, %1$@.</Say></Response>",,,"<Response><Say language=""fr-FR"" voice=""alice"" loop=""2"">Votre code de confirmation %2$@ est, %1$@.</Say></Response>",,,,,,,"<Response><Say language=""it-IT"" voice=""alice"" loop=""2"">Il tuo codice di conferma %2$@ è, %1$@.</Say></Response>","<Response><Say language=""ja-JP"" voice=""alice"" loop=""2"">%2$@の認証コードは、%1$@、です。</Say></Response>",,"<Response><Say language=""ko-KR"" voice=""alice"" loop=""2"">내 %2$@ 승인 코드는. %1$@. 입니다.</Say></Response>",,,,,"<Response><Say language=""nl-NL"" voice=""alice"" loop=""2"">Je %2$@-bevestigingscode is, %1$@.</Say></Response>",,,"<Response><Say language=""pt-PT"" voice=""alice"" loop=""2"">Seu código de confirmação do %2$@ é, %1$@.</Say></Response>",,"<Response><Say language=""ru-RU"" voice=""alice"" loop=""2"">Ваш код подтверждения в %2$@ - %1$@.</Say></Response>",,,,,,,,,,,,"<Response><Say language=""zh-CN"" voice=""alice"" loop=""2"">你的 %2$@ 确认码是。%1$@。</Say></Response>","<Response><Say language=""zh-HK"" voice=""alice"" loop=""2"">你的 %2$@ 確認碼是。%1$@。</Say></Response>","<Response><Say language=""zh-TW"" voice=""alice"" loop=""2"">你的 %2$@ 確認碼是。%1$@。</Say></Response>",TwiML response for call out
Add phone,,إضافة الهاتف,,,Afegeix telèfon,Přidání telefonu,Tilføj telefonnr.,Telefonnummer hinzufügen,Προσθήκη τηλεφώνου,Add phone,Add phone,,Añadir teléfono,Añadir teléfono,,Lisää puhelin,Ajoutez un téléphone,,הוסף טלפון,फ़ोन जोड़ें,Dodavanje telefonskog broja,Telefonszám megadása,Tambahkan ponsel,Aggiungi numero di telefono,電話番号を追加,,휴대폰 추가,,,Tambah telefon,Legg til telefon,Voeg telefoon toe,,Dodaj telefon,Adicionar celular,Adaugă numărul de telefon,Добавить номер телефона,Pridať telefón,,Lägg till telefon,,,เพิ่มหมายเลขโทรศัพท์,,Telefon ekle,Додати номер телефону,,Thêm điện thoại,添加手机号码,加入電話,加入電話,Title of screen prompting user to enter their phone number.
Back,Terug,رجوع,,ফিরুন,,Zpět,Tilbage,Zurück,Πίσω,Back,Back,Volver,Atrás,Atrás,,Takaisin,Retour,પાછળ,הקודם,वापस जाएँ,Natrag,Vissza,Kembali,Indietro,戻る,,뒤로,മടങ്ങുക,मागे,Undur,Tilbake,Terug,ਪਿਛਲ,,Voltar,Înapoi,Назад,Späť,,Tillbaka,பின்செல்,వెనుకకు,ย้อนกลับ,Back,,,,Quay lại,返回,返回,返回,
Begin,Begin,بدء,,আরম্ভ করুন,,Začít,Begynd,Beginnen,Έναρξη,Begin,Begin,Empezar,Comenzar,Comenzar,,Aloita,Commencer,શરૂ કરો,התחל,शुरू करें,Počni,Kezdés,Mulai,Inizia,開始,,시작,ആരംഭിക്കുക,आरंभ करा,Mula,Begynn,Beginnen,ਸ਼ੁਰੂ ਕਰੋ,,Começar,Începe,Начать,Začať,,Börja,தொடங்கு,ప్రారంభించు,เริ่มต้น,Umpisahan,,,,Bắt đầu,开始,開始,開始,
Call me,,اتصل بي,Обаждане до мен,আমাকে কল করুন,Truca'm,Zavolejte mi,Ring til mig,Ruf mich an,Καλέστε με,Call me,Call me,,Llámame,Llámame,با من تماس بگیر,Soita minulle,Appelez-moi,,התקשר אליי,मुझे कॉल करें,Nazovi me,Hívj fel,Telp saya,Chiamami,自分に発信,ನನಗೆ ಕರೆ ಮಾಡಿ,통화 인증,,मला कॉल करा,Hubungi saya,Ring meg,Bel me,,Zadzwoń do mnie,Ligar para mim,Sună-mă,Позвонить мне,Zavolať mi,Позовите ме,Ring mig,என்னை அழை,,โทรหาฉัน,Tawagan ako,Beni ara,Зателефонуйте мені,,Gọi cho tôi,给我电话,以電話確認,以電話確認,Button title for initiating a voice verification call
Calling codes,,رموز الاتصال,,,Prefixos telefònics,Telefonní předvolby,Landekoder,Landesvorwahlen,Κωδικοί κλήσης,Calling codes,Calling codes,,Códigos de marcación,Códigos de marcación,,Ulkomaantunnukset,Indicatifs téléphoniques,,קידומות שיחה,कॉलिंग कोड,Pozivni brojevi,Országkódok,Kode panggilan,Prefissi telefonici,国番号,,전화 코드,,,Kod panggilan,Landskoder,Landnummers,,Numery kierunkowe państw,Códigos de chamada,Coduri de apelare,Телефонные коды,Predvoľba,,Landsnummer,,,รหัสในการโทร,,Ülke arama kodları,Телефонні коди,,Mã điện thoại,国家代码,國際電話區號,國際電話區號,Title of Country Code Selector picker view
Calling...,,جارٍ الاتصال...,,কল করা হচ্ছে...,S'està trucant...,Voláme...,Ringer...,Ruft an...,Κλήση...,Calling...,Calling...,,Llamando...,Llamando...,در حال برقراری تماس...,Soitetaan...,Appel en cours…,,מתקשר...,कॉल किया जा रहा है...,Pozivanje...,Hívás folyamatban...,Menghubungi...,Chiamata in corso...,発信中,,전화하는 중...,,,Menghubungi...,Ringer …,Bellen...,,Dzwonimy...,Chamando...,Se apelează...,Звоним...,Vytáča sa...,Позивам...,Ringer...,,,กำลังโทร...,Tumatawag,Arıyor...,Телефонуємо...,,Đang gọi...,正在呼叫,撥號中...,撥號中...,Button title showing progress towards a phone call being initiated
Cancel,Kanselleer,إلغاء,,বাতিল করুন,,Zrušit,Annuller,Abbrechen,Άκυρο,Cancel,Cancel,Cancelar,Cancelar,Cancelar,,Peruuta,Annuler,રદ કરો,ביטול,रद्द करें,Odustani,Mégsem,Batalkan,Annulla,キャンセル,,취소,റദ്ദാക്കുക,रद्द करा,Batal,Avbryt,Annuleren,ਰੱਦ ਕਰੋ,,Cancelar,Renunță,Отмена,Zrušiť,,Avbryt,ரத்துசெய்,రద్దు చేయి,ยกเลิก,Kanselahin,,,,Hủy,取消,取消,取消,
Confirm,Bevestig,تأكيد,,নিশ্চিত করুন,,Potvrdit,Bekræft,Bestätigen,Επιβεβαίωση,Confirm,Confirm,Confirmar,Confirmar,Confirmar,,Vahvista,Confirmer,પુષ્ટિ કરો,אשר,पुष्टि करें,Potvrdi,Visszaigazolás,Konfirmasi,Conferma,確認,,확인,സ്ഥിരീകരിക്കുക,पुष्टी करा,Sahkan,Bekreft,Bevestigen,ਪੁਸ਼ਟੀ ਕਰੋ,,Confirmar,Confirmă,Подтвердить,Potvrdiť,,Bekräfta,உறுதிசெய்,నిర్ధారించు,ยืนยัน,Kumpirmahin,,,,Xác nhận,确认,確認,確認,
Confirm your email,Bevestig jou e-pos,قم بتأكيد بريدك الإلكتروني,,আপনার ইমেল নিশ্চিত করুন,,Potvrdit e-mail,Bekræft din e-mail,Bestätige deine E-Mail-Adresse,Επιβεβαιώστε το email σας,Confirm your email,Confirm your email,Confirma tu correo electrónico,Confrirma tu dirección de correo electrónico,Confrirma tu dirección de correo electrónico,,Vahvista sähköpostisi,Confirmez votre adresse e-mail,તમારી ઈમેઇલની પુષ્ટિ કરો,"אשר את כתובת הדוא\""ל שלך",अपना ईमेल कन्फ़र्म करें,Potvrdite adresu e-pošte,Az e-mail cím megerősítése,Konfirmasi email Anda,Conferma il tuo indirizzo e-mail,メールアドレスを確認,,이메일을 확인하세요,നിങ്ങളുടെ ഇമെയിൽ സ്ഥിരീകരിക്കുക,आपल्या ईमेलची पुष्टी करा,Sahkan e-mel anda,Bekreft e-postadressen din,Bevestig je e-mailadres,ਆਪਣੀ ਈਮੇਲ ਦੀ ਪੁਸ਼ਟੀ ਕਰੋ,,Confirme seu email,Confirmă adresa ta de e-mail,Подтвердите правильность своего эл. адреса,Potvrďte svoju e-mailovú adresu,,Bekräfta e-postadressen,உங்கள் மின்னஞ்சலை உறுதிப்படுத்தவும்,మీ ఇమెయిల్‌ను నిర్ధారించండి,ยืนยันอีเมลของคุณ,Kumpirmahin ang iyong email,,,,Xác nhận email của bạn,确认您的邮箱,確認您的電郵,確認電子郵件,
Confirm your phone number,Bevestig jou foonnommer,تأكيد رقم هاتفك,,আপনার ফোন নম্বর নিশ্চিত করুন,,Potvrďte telefonní číslo,Bekræft dit telefonnummer,Bestätige deine Telefonnummer,Επιβεβαιώστε τον αριθμό τηλεφώνου σας,Confirm your phone number,Confirm your phone number,Confirma tu número de teléfono,Confirma tu número de teléfono,Confirma tu número de teléfono,,Vahvista puhelinnumerosi,Confirmez votre numéro de téléphone,તમારા ફોન નંબરની પુષ્ટિ કરો,אשר את מספר הטלפון שלך,अपना फ़ोन नंबर कन्फ़र्म करें,Potvrdite telefonski broj,Erősítsd meg a telefonszámodat.,Konfirmasikan nomor telepon Anda,Conferma il tuo numero di telefono,電話番号を認証してください,,휴대폰 번호 확인,നിങ്ങളുടെ ഫോൺ നമ്പർ സ്ഥിരീകരിക്കുക,आपल्‍या फोन नंबरची पुष्‍टी करा,Sahkan nombor telefon anda,Bekreft telefonnummeret ditt,Bevestig je telefoonnummer,ਆਪਣੇ ਫ਼ੋਨ ਨੰਬਰ ਦੀ ਪੁਸ਼ਟੀ ਕਰੋ,,Confirme seu número de telefone,Confirmă numărul tău de telefon,Подтвердите свой номер телефона,Potvrďte svoje telefónne číslo,,Bekräfta ditt telefonnummer,ஃபோன் எண்ணை உறுதிசெய்யவும்,మీ ఫోన్ నంబర్‌ను నిర్ధారించండి,ยืนยันหมายเลขโทรศัพท์ของคุณ,Kumpirmahin ang numero ng iyong telepono,,,,Xác nhận số điện thoại của bạn,确认电话号码,確認您的手機號碼,確認手機電話號碼,
Continue,Gaan voort,متابعة,,অবিরত রাখুন,Continua,Pokračovat,Fortsæt,Fortfahren,Συνέχεια,Continue,Continue,Continuar,Continuar,Continuar,ادامه,Jatka,Continuer,ચાલુ રાખો,המשך,जारी रखें,Nastavi,Folytatás,Lanjutkan,Continua,続ける,,계속,തുടരുക,सुरू ठेवा,Teruskan,Fortsett,Doorgaan,ਜਾਰੀ ਰੱਖੋ,Kontynuuj,Continuar,Continuă,Продолжить,Pokračovať,Настави,Fortsätt,தொடரவும்,కొనసాగించు,ดำเนินต่อ,Magpatuloy,Devam,Продовжити,,Tiếp tục,继续,繼續,繼續,
Dismiss,,تجاهل,,বরখাস্ত করুন,Descarta,Zavřít,Afvis,Verwerfen,Απόρριψη,Dismiss,Dismiss,Descartar,Descartar,Descartar,نادیده گرفتن,Hylkää,Rejeter,,התעלמות,बर्खास्त करें,Odbaci,Bezárás,Singkirkan,Rimuovi,非表示,,취소,,,Abai,Forkast,Wijs af,,Odrzuć,Rejeitar,Renunță,Отклонить,Zamietnuť,Одбаци,Stäng,,,ยกเลิก,I-dismiss,Gizle,Відхилити,برخاست کریں,Bỏ qua,忽略,捨棄,捨棄,Dismiss button text
Done,,تمّ,,সম্পন্ন হয়েছে,Fet,Hotovo,Færdig,Fertig,Τέλος,Done,Done,Listo,Listo,Listo,انجام شد,Valmis,Terminé,,סיום,हो गया,Gotovo,Kész,Selesai,Fine,完了,,완료,,,Selesai,Ferdig,Gereed,,Gotowe,Concluído,Gata,Готово,Hotovo,Готово,Klart,,,เสร็จสิ้น,Tapos na,Bitti,Готово,,Đã xong,完成,完成,完成,Button title for successful continuation
Done!,Klaar!,تم!,,সম্পন্ন!,,Hotovo!,Færdig!,Fertig!,Ολοκληρώθηκε!,Done!,Done!,¡Hecho!,¡Listo!,¡Listo!,,Valmis!,Terminé!,પૂર્ણ થયું!,בוצע!,पूर्ण!,Gotovo!,Kész!,Selesai!,Operazione completata!,完了しました,,완료!,പൂർത്തിയായി!,पूर्ण झाले!,Selesai!,Ferdig!,Klaar!,ਮੁਕੰਮਲ!,,Concluído!,Gata!,Готово!,Hotovo!,,Klart!,முடிந்தது!,పూర్తయింది!,เรียบร้อย!,Tapos na!,,,,Xong!,完成！,完成！,完成！,
Edit number,,تعديل الرقم,Редактиране на номера,নম্বর সম্পাদনা করুন,Modifica el número,Upravit číslo,Rediger nummer,Nummer bearbeiten,Επεξεργασία αριθμού,Edit number,Edit number,Editar número,Editar número,Editar número,ویرایش شماره,Muokkaa numeroa,Modifier le numéro,,ערוך מספר,नंबर संपादित करें,Uredi broj,Szám szerkesztése,Edit nomor,Modifica numero,番号を編集,ಸಂಖ್ಯೆ ಸಂಪಾದಿಸಿ,번호 수정하기,,क्रमांक संपादित करा,Edit nombor,Rediger tall,Nummer bewerken,,Edytuj numer,Editar número,Editează numărul,Изменить номер,Upraviť číslo,Уреди број,Ändra numret,எண்ணைத் திருத்து,,แก้ไขหมายเลข,I-edit ang numero,Numarayı düzenle,Змінити номер,,Sửa số,编辑号码,編輯號碼,編輯號碼,Button to go back from Challenge VC
Enter the code to verify your phone number.,,أدخِل الرمز لتوثيق رقم هاتفك.,,,Introdueix el codi per verificar el teu número de telèfon.,Zadáním kódu ověřte své telefonní číslo.,Indtast koden for at bekræfte dit telefonnummer.,"Gib den Code ein, um Deine Telefonnummer zu bestätigen.",Εισαγάγετε τον κωδικό για να επαληθεύσετε τον αριθμό τηλεφώνου σας.,Enter the code to verify your phone number.,Enter the code to verify your phone number.,,Introduce el código para verificar tu número de teléfono.,Introduce el código para verificar tu número de teléfono.,,Kirjoita koodi varmentaaksesi puhelinnumerosi.,Entrez le code pour vérifier votre numéro de téléphone.,,הזן את הקוד כדי לאמת את מספר הטלפון שלך.,अपना फ़ोन नंबर सत्यापित करने के लिए कोड दर्ज करें.,Unesite kod da biste potvrdili svoj broj.,Add meg a kódot a telefonszámod ellenőrzéséhez!,Masukkan kode untuk memverifikasi nomor ponsel Anda.,Inserisci il codice per verificare il tuo numero di telefono,以下に入力して電話番号を認証してください。,,코드를 입력해서 휴대폰 번호를 인증하세요.,,,Masukkan kod tersebut di bawah untuk mengesahkan nombor telefon anda.,Skriv inn koden for å verifisere telefonnummeret ditt.,Vul de code in om je telefoonnummer te verifiëren.,,"Wpisz kod, aby zweryfikować swój numer telefonu.",Digite o código para confirmar seu número de celular.,Introdu codul pentru a-ți verifica numărul de telefon.,"Введите его в поле ниже, чтобы подтвердить свой телефонный номер.",Zadajte kód na overenie vášho telefónneho čísla.,,Ange koden för att verifiera ditt telefonnummer.,,,ป้อนรหัสเพื่อยืนยันหมายเลขโทรศัพท์ของคุณ,,Telefon numaranı doğrulamak için kodu gir.,"Введіть код, щоб підтвердити свій номер телефону.",,Điền mã để xác nhận số điện thoại của bạn.,输入代码确认你的手机号码。,輸入此碼以認證你的電話號碼。,輸入此碼以認證你的電話號碼。,Subtitle for the screen asking the user to verify their phone number
Enter your code,Voer jou kode in,أدخل الرمز,,আপনার কোড লিখুন,,Zadejte kód,Indtast din kode,Gib deinen Code ein,Εισαγάγετε τον κωδικό σας,Enter your code,Enter your code,Introduce el código,Ingresa tu código,Ingresa tu código,,Anna koodi,Saisissez votre code,તમારો કોડ દાખલ કરો,הזן את הקוד,अपना कोड डालें,Unesite kod,Írd be a kódot,Ketikkan kode Anda,Inserisci il tuo codice,コードを入力してください,,코드 입력,നിങ്ങളുടെ കോഡ് നൽകുക,आपला कोड प्रविष्‍ट करा,Masukkan kod anda,Oppgi koden din,Voer je code in,ਆਪਣਾ ਕੋਡ ਦਾਖ਼ਲ ਕਰੋ,,Insira seu código,Introdu codul,Введите код,Zadajte svoj kód,,Skriv in din kod,குறியீட்டை உள்ளிடவு்:,మీ కోడ్‌ను నమోదు చేయండి,ป้อนรหัสของคุณ,Ilagay ang iyong code,,,,Nhập mã của bạn,输入你的代码,輸入您的代碼,輸入代碼,
Enter your email address,Voer jou e-posadres in,أدخل عنوان بريدك الإلكتروني,,আপনার ইমেল ঠিকানা লিখুন,,Zadejte e-mailovou adresu,Indtast din e-mailadresse,Gib deine E-Mail-Adresse ein,Γράψτε τη διεύθυνση email σας,Enter your email address,Enter your email address,Escribe tu dirección de correo electrónico,Escribe tu dirección de correo electrónico,Escribe tu dirección de correo electrónico,,Anna sähköpostiosoitteesi,Saisissez votre adresse e-mail,તમારું ઇમેઇલ સરનામું દાખલ કરો,"הזן את כתובת הדוא\""ל שלך",अपना ईमेल पता डालें,Unesite adresu e-pošte,Add meg az e-mail címedet.,Masukkan alamat email Anda,Inserisci il tuo indirizzo e-mail,メールアドレスを入力,,이메일 주소 입력,നിങ്ങളുടെ ഇമെയിൽ വിലാസം നൽകുക,आपला ईमेल पत्‍ता प्रविष्‍ट करा,Masukkan alamat e-mel anda,Skriv inn e-postadressen din,Voer je e-mailadres in,ਆਪਣਾ ਈਮੇਲ ਪਤਾ ਦਾਖ਼ਲ ਕਰੋ,,Digite o seu endereço de email,Introdu adresa ta de e-mail,Введите свой эл. адрес,Zadajte svoju e-mailovú adresu,,Ange din e-postadress,மின்னஞ்சல் முகவரியை உள்ளிடவும்,మీ ఇమెయిల్ చిరునామాను నమోదు చేయండి,ป้อนที่อยู่อีเมลของคุณ,Ilagay ang iyong email address,,,,Nhập địa chỉ email của bạn,输入你的电子邮箱,輸入您的電郵地址,輸入電子郵件地址,
